----------------------------------------
Begin PBS Prologue Wed Nov 23 20:38:16 EST 2016 1479951496
Job ID:		73352363.gm-1r16-n04.guillimin.clumeq.ca
Username:	akashi
Group:		rck-371-01
Nodes:		sw-4r02-n11
End PBS Prologue Wed Nov 23 20:38:17 EST 2016 1479951497
----------------------------------------
Unsteady: 10000 1 0 0 vanleer 0.2 0.2 1
Euler1d: Using Van Leer numerical flux.
Euler1d: No slope reconstruction to be used.
MUSCLReconstruction: Using Van Albada limiter
Euler1d: Using MUSCL face reconstruction.
Euler1dExplicit: Using 1-stage TVD RK scheme; loaded coefficients.
Euler1dExplicit: run(): Step 0 - Time = 0
Euler1dExplicit: run(): Step 10 - Time = 9.48028e-05
Euler1dExplicit: run(): Step 20 - Time = 0.000169301
Euler1dExplicit: run(): Step 30 - Time = 0.000238158
Euler1dExplicit: run(): Step 40 - Time = 0.000301427
Euler1dExplicit: run(): Step 50 - Time = 0.000360012
Euler1dExplicit: run(): Step 60 - Time = 0.000415056
Euler1dExplicit: run(): Step 70 - Time = 0.00046686
Euler1dExplicit: run(): Step 80 - Time = 0.000515687
Euler1dExplicit: run(): Step 90 - Time = 0.000561695
Euler1dExplicit: run(): Step 100 - Time = 0.000605288
Euler1dExplicit: run(): Step 110 - Time = 0.000646444
Euler1dExplicit: run(): Step 120 - Time = 0.000684351
Euler1dExplicit: run(): Step 130 - Time = 0.000719131
Euler1dExplicit: run(): Step 140 - Time = 0.000751076
Euler1dExplicit: run(): Step 150 - Time = 0.000780086
Euler1dExplicit: run(): Step 160 - Time = 0.000806585
Euler1dExplicit: run(): Step 170 - Time = 0.00083094
Euler1dExplicit: run(): Step 180 - Time = 0.000853326
Euler1dExplicit: run(): Step 190 - Time = 0.000873853
Euler1dExplicit: run(): Step 200 - Time = 0.00089287
Euler1dExplicit: run(): Step 210 - Time = 0.000910416
Euler1dExplicit: run(): Step 220 - Time = 0.000926442
Euler1dExplicit: run(): Step 230 - Time = 0.000941157
Euler1dExplicit: run(): Step 240 - Time = 0.000954608
Euler1dExplicit: run(): Step 250 - Time = 0.000966826
Euler1dExplicit: run(): Step 260 - Time = 0.000977767
Euler1dExplicit: run(): Step 270 - Time = 0.000987839
Euler1dExplicit: run(): Step 280 - Time = 0.000996935
Euler1dExplicit: run(): Step 290 - Time = 0.00100511
Euler1dExplicit: run(): Step 300 - Time = 0.00101252
Euler1dExplicit: run(): Step 310 - Time = 0.00101919
Euler1dExplicit: run(): Step 320 - Time = 0.00101982
Euler1dExplicit: run(): Step 330 - Time = 0.00101982
Euler1dExplicit: run(): Step 340 - Time = 0.00101982
Euler1dExplicit: run(): Step 350 - Time = 0.00101982
Euler1dExplicit: run(): Step 360 - Time = 0.00101982
Euler1dExplicit: run(): Step 370 - Time = 0.00101982
Euler1dExplicit: run(): Step 380 - Time = 0.00101982
Euler1dExplicit: run(): Step 390 - Time = 0.00101982
Euler1dExplicit: run(): Step 400 - Time = 0.00101982
Euler1dExplicit: run(): Step 410 - Time = 0.00101982
Euler1dExplicit: run(): Step 420 - Time = 0.00101982
Euler1dExplicit: run(): Step 430 - Time = 0.00101982
Euler1dExplicit: run(): Step 440 - Time = 0.00101982
Euler1dExplicit: run(): Step 450 - Time = 0.00101982
Euler1dExplicit: run(): Step 460 - Time = 0.00101982
Euler1dExplicit: run(): Step 470 - Time = 0.00101982
Euler1dExplicit: run(): Step 480 - Time = 0.00101982
Euler1dExplicit: run(): Step 490 - Time = 0.00101982
Euler1dExplicit: run(): Step 500 - Time = 0.00101982
Euler1dExplicit: run(): Step 510 - Time = 0.00101982
Euler1dExplicit: run(): Step 520 - Time = 0.00101982
Euler1dExplicit: run(): Step 530 - Time = 0.00101982
Euler1dExplicit: run(): Step 540 - Time = 0.00101982
Euler1dExplicit: run(): Step 550 - Time = 0.00101982
Euler1dExplicit: run(): Step 560 - Time = 0.00101982
Euler1dExplicit: run(): Step 570 - Time = 0.00101982
Euler1dExplicit: run(): Step 580 - Time = 0.00101982
Euler1dExplicit: run(): Step 590 - Time = 0.00101982
Euler1dExplicit: run(): Step 600 - Time = 0.00101982
Euler1dExplicit: run(): Step 610 - Time = 0.00101982
Euler1dExplicit: run(): Step 620 - Time = 0.00101982
