----------------------------------------
Begin PBS Prologue Fri Jan  6 15:48:18 EST 2017 1483735698
Job ID:		75657642.gm-1r16-n04.guillimin.clumeq.ca
Username:	akashi
Group:		rck-371-01
Nodes:		aw-4r13-n28
End PBS Prologue Fri Jan  6 15:48:18 EST 2017 1483735698
----------------------------------------
Unsteady: 10000 1 0 0 vanleer 0.2 0.2 1
Euler1d: Using Van Leer numerical flux.
Euler1d: No slope reconstruction to be used.
MUSCLReconstruction: Using Van Albada limiter
Euler1d: Using MUSCL face reconstruction.
Euler1dExplicit: Using 1-stage TVD RK scheme; loaded coefficients.
Euler1dExplicit: run(): Step 0 - Time = 0
Euler1dExplicit: run(): Step 10 - Time = 0.000148922
Euler1dExplicit: run(): Step 20 - Time = 0.000286333
Euler1dExplicit: run(): Step 30 - Time = 0.000419455
Euler1dExplicit: run(): Step 40 - Time = 0.000550908
Euler1dExplicit: run(): Step 50 - Time = 0.000681936
Euler1dExplicit: run(): Step 60 - Time = 0.000812931
Euler1dExplicit: run(): Step 70 - Time = 0.000943926
Euler1dExplicit: run(): Step 80 - Time = 0.00107492
Euler1dExplicit: run(): Step 90 - Time = 0.00120592
Euler1dExplicit: run(): Step 100 - Time = 0.00133691
Euler1dExplicit: run(): Step 110 - Time = 0.00146791
Euler1dExplicit: run(): Step 120 - Time = 0.0015989
Euler1dExplicit: run(): Step 130 - Time = 0.0017299
Euler1dExplicit: run(): Step 140 - Time = 0.00186089
Euler1dExplicit: run(): Step 150 - Time = 0.00199189
Euler1dExplicit: run(): Step 160 - Time = 0.00212288
Euler1dExplicit: run(): Step 170 - Time = 0.00225388
Euler1dExplicit: run(): Step 180 - Time = 0.00238488
Euler1dExplicit: run(): Step 190 - Time = 0.00251587
Euler1dExplicit: run(): Step 200 - Time = 0.00264687
Euler1dExplicit: run(): Step 210 - Time = 0.00277786
Euler1dExplicit: run(): Step 220 - Time = 0.00290886
Euler1dExplicit: run(): Step 230 - Time = 0.00303985
Euler1dExplicit: run(): Step 240 - Time = 0.00317085
Euler1dExplicit: run(): Step 250 - Time = 0.00330184
Euler1dExplicit: run(): Step 260 - Time = 0.00343284
Euler1dExplicit: run(): Step 270 - Time = 0.00356383
Euler1dExplicit: run(): Step 280 - Time = 0.00369483
Euler1dExplicit: run(): Step 290 - Time = 0.00382582
Euler1dExplicit: run(): Step 300 - Time = 0.00395682
Euler1dExplicit: run(): Step 310 - Time = 0.00408781
Euler1dExplicit: run(): Step 320 - Time = 0.00421881
Euler1dExplicit: run(): Step 330 - Time = 0.00434981
Euler1dExplicit: run(): Step 340 - Time = 0.0044808
Euler1dExplicit: run(): Step 350 - Time = 0.0046118
Euler1dExplicit: run(): Step 360 - Time = 0.00474279
Euler1dExplicit: run(): Step 370 - Time = 0.00487379
Euler1dExplicit: run(): Step 380 - Time = 0.00500478
Euler1dExplicit: run(): Step 390 - Time = 0.00513578
Euler1dExplicit: run(): Step 400 - Time = 0.00526677
Euler1dExplicit: run(): Step 410 - Time = 0.00539777
Euler1dExplicit: run(): Step 420 - Time = 0.00552876
Euler1dExplicit: run(): Step 430 - Time = 0.00565976
Euler1dExplicit: run(): Step 440 - Time = 0.00579075
Euler1dExplicit: run(): Step 450 - Time = 0.00592175
Euler1dExplicit: run(): Step 460 - Time = 0.00605275
Euler1dExplicit: run(): Step 470 - Time = 0.00618374
Euler1dExplicit: run(): Step 480 - Time = 0.00631474
Euler1dExplicit: run(): Step 490 - Time = 0.00644573
Euler1dExplicit: run(): Step 500 - Time = 0.00657673
Euler1dExplicit: run(): Step 510 - Time = 0.00670772
Euler1dExplicit: run(): Step 520 - Time = 0.00683872
Euler1dExplicit: run(): Step 530 - Time = 0.00696971
Euler1dExplicit: run(): Step 540 - Time = 0.00710071
Euler1dExplicit: run(): Step 550 - Time = 0.0072317
Euler1dExplicit: run(): Step 560 - Time = 0.0073627
Euler1dExplicit: run(): Step 570 - Time = 0.00749369
Euler1dExplicit: run(): Step 580 - Time = 0.00762469
Euler1dExplicit: run(): Step 590 - Time = 0.00775569
Euler1dExplicit: run(): Step 600 - Time = 0.00788668
Euler1dExplicit: run(): Step 610 - Time = 0.00801768
Euler1dExplicit: run(): Step 620 - Time = 0.00814867
Euler1dExplicit: run(): Step 630 - Time = 0.00827967
Euler1dExplicit: run(): Step 640 - Time = 0.00841066
Euler1dExplicit: run(): Step 650 - Time = 0.00854166
Euler1dExplicit: run(): Step 660 - Time = 0.00867265
Euler1dExplicit: run(): Step 670 - Time = 0.00880365
Euler1dExplicit: run(): Step 680 - Time = 0.00893464
Euler1dExplicit: run(): Step 690 - Time = 0.00906564
Euler1dExplicit: run(): Step 700 - Time = 0.00919663
Euler1dExplicit: run(): Step 710 - Time = 0.00932763
Euler1dExplicit: run(): Step 720 - Time = 0.00945862
Euler1dExplicit: run(): Step 730 - Time = 0.00958962
Euler1dExplicit: run(): Step 740 - Time = 0.00972062
Euler1dExplicit: run(): Step 750 - Time = 0.00985161
Euler1dExplicit: run(): Step 760 - Time = 0.00998261
Euler1dExplicit: run(): Step 770 - Time = 0.0101136
Euler1dExplicit: run(): Step 780 - Time = 0.0102446
Euler1dExplicit: run(): Step 790 - Time = 0.0103756
Euler1dExplicit: run(): Step 800 - Time = 0.0105066
Euler1dExplicit: run(): Step 810 - Time = 0.0106376
Euler1dExplicit: run(): Step 820 - Time = 0.0107686
Euler1dExplicit: run(): Step 830 - Time = 0.0108996
Euler1dExplicit: run(): Step 840 - Time = 0.0110306
Euler1dExplicit: run(): Step 850 - Time = 0.0111616
Euler1dExplicit: run(): Step 860 - Time = 0.0112926
Euler1dExplicit: run(): Step 870 - Time = 0.0114236
Euler1dExplicit: run(): Step 880 - Time = 0.0115546
Euler1dExplicit: run(): Step 890 - Time = 0.0116855
Euler1dExplicit: run(): Step 900 - Time = 0.0118165
Euler1dExplicit: run(): Step 910 - Time = 0.0119475
Euler1dExplicit: run(): Step 920 - Time = 0.0120785
Euler1dExplicit: run(): Step 930 - Time = 0.0122095
Euler1dExplicit: run(): Step 940 - Time = 0.0123405
Euler1dExplicit: run(): Step 950 - Time = 0.0124715
Euler1dExplicit: run(): Step 960 - Time = 0.0126025
Euler1dExplicit: run(): Step 970 - Time = 0.0127335
Euler1dExplicit: run(): Step 980 - Time = 0.0128645
Euler1dExplicit: run(): Step 990 - Time = 0.0129955
Euler1dExplicit: run(): Step 1000 - Time = 0.0131265
Euler1dExplicit: run(): Step 1010 - Time = 0.0132575
Euler1dExplicit: run(): Step 1020 - Time = 0.0133885
Euler1dExplicit: run(): Step 1030 - Time = 0.0135195
Euler1dExplicit: run(): Step 1040 - Time = 0.0136505
Euler1dExplicit: run(): Step 1050 - Time = 0.0137815
Euler1dExplicit: run(): Step 1060 - Time = 0.0139125
Euler1dExplicit: run(): Step 1070 - Time = 0.0140435
Euler1dExplicit: run(): Step 1080 - Time = 0.0141745
Euler1dExplicit: run(): Step 1090 - Time = 0.0143055
Euler1dExplicit: run(): Step 1100 - Time = 0.0144364
Euler1dExplicit: run(): Step 1110 - Time = 0.0145674
Euler1dExplicit: run(): Step 1120 - Time = 0.0146984
Euler1dExplicit: run(): Step 1130 - Time = 0.0148294
Euler1dExplicit: run(): Step 1140 - Time = 0.0149604
Euler1dExplicit: run(): Step 1150 - Time = 0.0150914
Euler1dExplicit: run(): Step 1160 - Time = 0.0152224
Euler1dExplicit: run(): Step 1170 - Time = 0.0153534
Euler1dExplicit: run(): Step 1180 - Time = 0.0154844
Euler1dExplicit: run(): Step 1190 - Time = 0.0156154
Euler1dExplicit: run(): Step 1200 - Time = 0.0157464
Euler1dExplicit: run(): Step 1210 - Time = 0.0158774
Euler1dExplicit: run(): Step 1220 - Time = 0.0160084
Euler1dExplicit: run(): Step 1230 - Time = 0.0161394
Euler1dExplicit: run(): Step 1240 - Time = 0.0162704
Euler1dExplicit: run(): Step 1250 - Time = 0.0164014
Euler1dExplicit: run(): Step 1260 - Time = 0.0165324
Euler1dExplicit: run(): Step 1270 - Time = 0.0166634
Euler1dExplicit: run(): Step 1280 - Time = 0.0167944
Euler1dExplicit: run(): Step 1290 - Time = 0.0169254
Euler1dExplicit: run(): Step 1300 - Time = 0.0170564
Euler1dExplicit: run(): Step 1310 - Time = 0.0171874
Euler1dExplicit: run(): Step 1320 - Time = 0.0173183
Euler1dExplicit: run(): Step 1330 - Time = 0.0174493
Euler1dExplicit: run(): Step 1340 - Time = 0.0175803
Euler1dExplicit: run(): Step 1350 - Time = 0.0177113
Euler1dExplicit: run(): Step 1360 - Time = 0.0178423
Euler1dExplicit: run(): Step 1370 - Time = 0.0179733
Euler1dExplicit: run(): Step 1380 - Time = 0.0181043
Euler1dExplicit: run(): Step 1390 - Time = 0.0182353
Euler1dExplicit: run(): Step 1400 - Time = 0.0183663
Euler1dExplicit: run(): Step 1410 - Time = 0.0184973
Euler1dExplicit: run(): Step 1420 - Time = 0.0186283
Euler1dExplicit: run(): Step 1430 - Time = 0.0187593
Euler1dExplicit: run(): Step 1440 - Time = 0.0188903
Euler1dExplicit: run(): Step 1450 - Time = 0.0190213
Euler1dExplicit: run(): Step 1460 - Time = 0.0191523
Euler1dExplicit: run(): Step 1470 - Time = 0.0192833
Euler1dExplicit: run(): Step 1480 - Time = 0.0194143
Euler1dExplicit: run(): Step 1490 - Time = 0.0195453
Euler1dExplicit: run(): Step 1500 - Time = 0.0196763
Euler1dExplicit: run(): Step 1510 - Time = 0.0198073
Euler1dExplicit: run(): Step 1520 - Time = 0.0199383
Euler1dExplicit: run(): Step 1530 - Time = 0.0200692
Euler1dExplicit: run(): Step 1540 - Time = 0.0202002
Euler1dExplicit: run(): Step 1550 - Time = 0.0203312
Euler1dExplicit: run(): Step 1560 - Time = 0.0204622
Euler1dExplicit: run(): Step 1570 - Time = 0.0205932
Euler1dExplicit: run(): Step 1580 - Time = 0.0207242
Euler1dExplicit: run(): Step 1590 - Time = 0.0208552
Euler1dExplicit: run(): Step 1600 - Time = 0.0209862
Euler1dExplicit: run(): Step 1610 - Time = 0.0211172
Euler1dExplicit: run(): Step 1620 - Time = 0.0212482
Euler1dExplicit: run(): Step 1630 - Time = 0.0213792
Euler1dExplicit: run(): Step 1640 - Time = 0.0215102
Euler1dExplicit: run(): Step 1650 - Time = 0.0216412
Euler1dExplicit: run(): Step 1660 - Time = 0.0217722
Euler1dExplicit: run(): Step 1670 - Time = 0.0219032
Euler1dExplicit: run(): Step 1680 - Time = 0.0220342
Euler1dExplicit: run(): Step 1690 - Time = 0.0221652
Euler1dExplicit: run(): Step 1700 - Time = 0.0222962
Euler1dExplicit: run(): Step 1710 - Time = 0.0224272
Euler1dExplicit: run(): Step 1720 - Time = 0.0225582
Euler1dExplicit: run(): Step 1730 - Time = 0.0226892
Euler1dExplicit: run(): Step 1740 - Time = 0.0228202
Euler1dExplicit: run(): Step 1750 - Time = 0.0229511
Euler1dExplicit: run(): Step 1760 - Time = 0.0230821
Euler1dExplicit: run(): Step 1770 - Time = 0.0232131
Euler1dExplicit: run(): Step 1780 - Time = 0.0233441
Euler1dExplicit: run(): Step 1790 - Time = 0.0234751
Euler1dExplicit: run(): Step 1800 - Time = 0.0236061
Euler1dExplicit: run(): Step 1810 - Time = 0.0237371
Euler1dExplicit: run(): Step 1820 - Time = 0.0238681
Euler1dExplicit: run(): Step 1830 - Time = 0.0239991
Euler1dExplicit: run(): Step 1840 - Time = 0.0241301
Euler1dExplicit: run(): Step 1850 - Time = 0.0242611
Euler1dExplicit: run(): Step 1860 - Time = 0.0243921
Euler1dExplicit: run(): Step 1870 - Time = 0.0245231
Euler1dExplicit: run(): Step 1880 - Time = 0.0246541
Euler1dExplicit: run(): Step 1890 - Time = 0.0247851
Euler1dExplicit: run(): Step 1900 - Time = 0.0249161
Euler1dExplicit: run(): Step 1910 - Time = 0.0250471
Euler1dExplicit: run(): Step 1920 - Time = 0.0251781
Euler1dExplicit: run(): Step 1930 - Time = 0.0253091
Euler1dExplicit: run(): Step 1940 - Time = 0.0254401
Euler1dExplicit: run(): Step 1950 - Time = 0.0255711
Euler1dExplicit: run(): Step 1960 - Time = 0.025702
Euler1dExplicit: run(): Step 1970 - Time = 0.025833
Euler1dExplicit: run(): Step 1980 - Time = 0.025964
Euler1dExplicit: run(): Step 1990 - Time = 0.026095
Euler1dExplicit: run(): Step 2000 - Time = 0.026226
Euler1dExplicit: run(): Step 2010 - Time = 0.026357
Euler1dExplicit: run(): Step 2020 - Time = 0.026488
Euler1dExplicit: run(): Step 2030 - Time = 0.026619
Euler1dExplicit: run(): Step 2040 - Time = 0.02675
Euler1dExplicit: run(): Step 2050 - Time = 0.026881
Euler1dExplicit: run(): Step 2060 - Time = 0.027012
Euler1dExplicit: run(): Step 2070 - Time = 0.027143
Euler1dExplicit: run(): Step 2080 - Time = 0.027274
Euler1dExplicit: run(): Step 2090 - Time = 0.027405
Euler1dExplicit: run(): Step 2100 - Time = 0.027536
Euler1dExplicit: run(): Step 2110 - Time = 0.027667
Euler1dExplicit: run(): Step 2120 - Time = 0.027798
Euler1dExplicit: run(): Step 2130 - Time = 0.027929
Euler1dExplicit: run(): Step 2140 - Time = 0.02806
Euler1dExplicit: run(): Step 2150 - Time = 0.028191
Euler1dExplicit: run(): Step 2160 - Time = 0.028322
Euler1dExplicit: run(): Step 2170 - Time = 0.028453
Euler1dExplicit: run(): Step 2180 - Time = 0.0285839
Euler1dExplicit: run(): Step 2190 - Time = 0.0287149
Euler1dExplicit: run(): Step 2200 - Time = 0.0288459
Euler1dExplicit: run(): Step 2210 - Time = 0.0289769
Euler1dExplicit: run(): Step 2220 - Time = 0.0291079
Euler1dExplicit: run(): Step 2230 - Time = 0.0292389
Euler1dExplicit: run(): Step 2240 - Time = 0.0293699
Euler1dExplicit: run(): Step 2250 - Time = 0.0295009
Euler1dExplicit: run(): Step 2260 - Time = 0.0296319
Euler1dExplicit: run(): Step 2270 - Time = 0.0297629
Euler1dExplicit: run(): Step 2280 - Time = 0.0298939
Euler1dExplicit: run(): Step 2290 - Time = 0.0300249
Euler1dExplicit: run(): Step 2300 - Time = 0.0301559
Euler1dExplicit: run(): Step 2310 - Time = 0.0302869
Euler1dExplicit: run(): Step 2320 - Time = 0.0304179
Euler1dExplicit: run(): Step 2330 - Time = 0.0305489
Euler1dExplicit: run(): Step 2340 - Time = 0.0306799
Euler1dExplicit: run(): Step 2350 - Time = 0.0308109
Euler1dExplicit: run(): Step 2360 - Time = 0.0309419
Euler1dExplicit: run(): Step 2370 - Time = 0.0310729
Euler1dExplicit: run(): Step 2380 - Time = 0.0312039
Euler1dExplicit: run(): Step 2390 - Time = 0.0313349
Euler1dExplicit: run(): Step 2400 - Time = 0.0314658
Euler1dExplicit: run(): Step 2410 - Time = 0.0315968
Euler1dExplicit: run(): Step 2420 - Time = 0.0317278
Euler1dExplicit: run(): Step 2430 - Time = 0.0318588
Euler1dExplicit: run(): Step 2440 - Time = 0.0319898
Euler1dExplicit: run(): Step 2450 - Time = 0.0321208
Euler1dExplicit: run(): Step 2460 - Time = 0.0322518
Euler1dExplicit: run(): Step 2470 - Time = 0.0323828
Euler1dExplicit: run(): Step 2480 - Time = 0.0325138
Euler1dExplicit: run(): Step 2490 - Time = 0.0326448
Euler1dExplicit: run(): Step 2500 - Time = 0.0327758
Euler1dExplicit: run(): Step 2510 - Time = 0.0329068
Euler1dExplicit: run(): Step 2520 - Time = 0.0330378
Euler1dExplicit: run(): Step 2530 - Time = 0.0331688
Euler1dExplicit: run(): Step 2540 - Time = 0.0332998
Euler1dExplicit: run(): Step 2550 - Time = 0.0334308
Euler1dExplicit: run(): Step 2560 - Time = 0.0335618
Euler1dExplicit: run(): Step 2570 - Time = 0.0336928
Euler1dExplicit: run(): Step 2580 - Time = 0.0338238
Euler1dExplicit: run(): Step 2590 - Time = 0.0339548
Euler1dExplicit: run(): Step 2600 - Time = 0.0340858
Euler1dExplicit: run(): Step 2610 - Time = 0.0342167
Euler1dExplicit: run(): Step 2620 - Time = 0.0343477
Euler1dExplicit: run(): Step 2630 - Time = 0.0344787
Euler1dExplicit: run(): Step 2640 - Time = 0.0346097
Euler1dExplicit: run(): Step 2650 - Time = 0.0347407
Euler1dExplicit: run(): Step 2660 - Time = 0.0348717
Euler1dExplicit: run(): Step 2670 - Time = 0.0350027
Euler1dExplicit: run(): Step 2680 - Time = 0.0351337
Euler1dExplicit: run(): Step 2690 - Time = 0.0352647
Euler1dExplicit: run(): Step 2700 - Time = 0.0353957
Euler1dExplicit: run(): Step 2710 - Time = 0.0355267
Euler1dExplicit: run(): Step 2720 - Time = 0.0356577
Euler1dExplicit: run(): Step 2730 - Time = 0.0357887
Euler1dExplicit: run(): Step 2740 - Time = 0.0359197
Euler1dExplicit: run(): Step 2750 - Time = 0.0360507
Euler1dExplicit: run(): Step 2760 - Time = 0.0361817
Euler1dExplicit: run(): Step 2770 - Time = 0.0363127
Euler1dExplicit: run(): Step 2780 - Time = 0.0364437
Euler1dExplicit: run(): Step 2790 - Time = 0.0365747
Euler1dExplicit: run(): Step 2800 - Time = 0.0367057
Euler1dExplicit: run(): Step 2810 - Time = 0.0368367
Euler1dExplicit: run(): Step 2820 - Time = 0.0369677
Euler1dExplicit: run(): Step 2830 - Time = 0.0370986
Euler1dExplicit: run(): Step 2840 - Time = 0.0372296
Euler1dExplicit: run(): Step 2850 - Time = 0.0373606
Euler1dExplicit: run(): Step 2860 - Time = 0.0374916
Euler1dExplicit: run(): Step 2870 - Time = 0.0376226
Euler1dExplicit: run(): Step 2880 - Time = 0.0377536
Euler1dExplicit: run(): Step 2890 - Time = 0.0378846
Euler1dExplicit: run(): Step 2900 - Time = 0.0380156
Euler1dExplicit: run(): Step 2910 - Time = 0.0381466
Euler1dExplicit: run(): Step 2920 - Time = 0.0382776
Euler1dExplicit: run(): Step 2930 - Time = 0.0384086
Euler1dExplicit: run(): Step 2940 - Time = 0.0385396
Euler1dExplicit: run(): Step 2950 - Time = 0.0386706
Euler1dExplicit: run(): Step 2960 - Time = 0.0388016
Euler1dExplicit: run(): Step 2970 - Time = 0.0389326
Euler1dExplicit: run(): Step 2980 - Time = 0.0390636
Euler1dExplicit: run(): Step 2990 - Time = 0.0391946
Euler1dExplicit: run(): Step 3000 - Time = 0.0393256
Euler1dExplicit: run(): Step 3010 - Time = 0.0394566
Euler1dExplicit: run(): Step 3020 - Time = 0.0395876
Euler1dExplicit: run(): Step 3030 - Time = 0.0397186
Euler1dExplicit: run(): Step 3040 - Time = 0.0398495
Euler1dExplicit: run(): Step 3050 - Time = 0.0399805
Euler1dExplicit: run(): Step 3060 - Time = 0.0401115
Euler1dExplicit: run(): Step 3070 - Time = 0.0402425
Euler1dExplicit: run(): Step 3080 - Time = 0.0403735
Euler1dExplicit: run(): Step 3090 - Time = 0.0405045
Euler1dExplicit: run(): Step 3100 - Time = 0.0406355
Euler1dExplicit: run(): Step 3110 - Time = 0.0407665
Euler1dExplicit: run(): Step 3120 - Time = 0.0408975
Euler1dExplicit: run(): Step 3130 - Time = 0.0410285
Euler1dExplicit: run(): Step 3140 - Time = 0.0411595
Euler1dExplicit: run(): Step 3150 - Time = 0.0412905
Euler1dExplicit: run(): Step 3160 - Time = 0.0414215
Euler1dExplicit: run(): Step 3170 - Time = 0.0415525
Euler1dExplicit: run(): Step 3180 - Time = 0.0416835
Euler1dExplicit: run(): Step 3190 - Time = 0.0418145
Euler1dExplicit: run(): Step 3200 - Time = 0.0419455
Euler1dExplicit: run(): Step 3210 - Time = 0.0420765
Euler1dExplicit: run(): Step 3220 - Time = 0.0422075
Euler1dExplicit: run(): Step 3230 - Time = 0.0423385
